mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,landscape,epoch_len
island-fixed,opt,uniform500,500,4,8,30,240,350,3,1,0.15,17269.7,8.41138,4.396,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,4,1,0.15,17509.6,9.9175,4.407,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,5,1,0.15,17124.7,7.5015,4.43,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,6,1,0.15,17271.6,8.42372,4.38,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,7,1,0.15,17307.9,8.65137,4.365,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,350,8,1,0.15,17195.1,7.9431,4.365,-1,56,56,56,0,uniform500,50
island-fixed,opt,uniform500,500,4,8,30,240,400,1,1,0.15,16681.2,4.71748,5.176,-1,32,32,32,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,400,2,1,0.15,16970.2,6.53165,5.21,-1,32,32,32,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,400,3,1,0.15,17382.5,9.12002,5.208,-1,32,32,32,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,300,4,1,0.15,17531.2,10.0532,4.06,-1,24,24,24,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,400,5,1,0.15,17233.2,8.1827,5.275,-1,32,32,32,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,400,6,1,0.15,17076.8,7.20057,5.201,-1,32,32,32,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,300,7,1,0.15,17388.6,9.15799,4.2,-1,24,24,24,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,300,8,1,0.15,17208.4,8.02679,4.036,-1,24,24,24,0,uniform500,100
island-fixed,opt,uniform500,500,4,8,30,240,400,1,1,0.15,16809.2,5.52093,5.398,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,2,1,0.15,17082.3,7.23552,5.578,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,3,1,0.15,17382.7,9.12075,5.388,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,4,1,0.15,17522.9,10.0012,5.402,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,5,1,0.15,17269.4,8.40983,5.256,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,6,1,0.15,17092.9,7.3016,5.327,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,7,1,0.15,17434.4,9.44536,5.739,-1,16,16,16,0,uniform500,200
island-fixed,opt,uniform500,500,4,8,30,240,400,8,1,0.15,17200.2,7.97535,5.536,-1,16,16,16,0,uniform500,200
island-dtam,opt,uniform500,500,4,8,30,240,285,1,1,0.15,16585.6,4.11694,4.066,-1,428,428,456,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,280,2,1,0.15,16821.3,5.59651,4.015,-1,433,433,448,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,275,3,1,0.15,17255.8,8.32415,4.01,-1,423,423,440,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,280,4,1,0.15,17400.6,9.23362,4.007,-1,432,432,448,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,270,5,1,0.15,17130.6,7.53818,4.048,-1,418,418,432,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,285,6,1,0.15,16842,5.72699,4.055,-1,436,436,456,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,280,7,1,0.15,17277.6,8.46115,4.024,-1,433,433,448,0,uniform500,5
