mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,landscape,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-dtam,opt,uniform500,500,4,8,30,240,270,1,1,0.15,16595.1,4.17707,4.036,-1,206,206,216,0,E5,uniform500,1,4.036,4.036,4.036,0.0,16595.1,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,2,1,0.15,16748.9,5.14209,4.127,-1,208,208,216,0,E5,uniform500,1,4.127,4.127,4.127,0.0,16748.9,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,3,1,0.15,17244.2,8.25153,4.054,-1,211,211,216,0,E5,uniform500,1,4.054,4.054,4.054,0.0,17244.2,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,4,1,0.15,17311.3,8.67282,4.153,-1,210,210,216,0,E5,uniform500,1,4.153,4.153,4.153,0.0,17311.3,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,5,1,0.15,16938.1,6.32995,4.028,-1,209,209,216,0,E5,uniform500,1,4.028,4.028,4.028,0.0,16938.1,0.0
island-dtam,opt,uniform500,500,4,8,30,240,280,6,1,0.15,17167,7.76708,4.146,-1,218,218,224,0,E5,uniform500,1,4.146,4.146,4.146,0.0,17167.0,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,7,1,0.15,17297.2,8.58396,4.054,-1,209,209,216,0,E5,uniform500,1,4.054,4.054,4.054,0.0,17297.2,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,8,1,0.15,17095.5,7.31797,4.017,-1,208,208,216,0,E5,uniform500,1,4.017,4.017,4.017,0.0,17095.5,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,9,1,0.15,17424.7,9.38467,4.078,-1,209,209,216,0,E5,uniform500,1,4.078,4.078,4.078,0.0,17424.7,0.0
island-dtam,opt,uniform500,500,4,8,30,240,260,10,1,0.15,17463.6,9.62916,4.124,-1,201,201,208,0,E5,uniform500,1,4.124,4.124,4.124,0.0,17463.6,0.0
island-dtam,opt,uniform500,500,4,8,30,240,250,11,1,0.15,17618.4,10.6009,4.039,-1,189,189,200,0,E5,uniform500,1,4.039,4.039,4.039,0.0,17618.4,0.0
island-dtam,opt,uniform500,500,4,8,30,240,270,12,1,0.15,17019.7,6.84207,4.101,-1,208,208,216,0,E5,uniform500,1,4.101,4.101,4.101,0.0,17019.7,0.0
serial,opt,clustered600,600,1,1,240,240,2705,1,0,0.15,30588.7,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,30588.7,0.0
serial,opt,clustered600,600,1,1,240,240,2756,2,0,0.15,29053.7,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,29053.7,0.0
serial,opt,clustered600,600,1,1,240,240,2769,3,0,0.15,21937.9,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,21937.9,0.0
serial,opt,clustered600,600,1,1,240,240,2810,4,0,0.15,20719.4,-1,4.003,-1,0,0,0,0,E5,clustered600,1,4.003,4.003,4.003,0.0,20719.4,0.0
serial,opt,clustered600,600,1,1,240,240,2763,5,0,0.15,27515.2,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,27515.2,0.0
serial,opt,clustered600,600,1,1,240,240,2795,6,0,0.15,25176.6,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,25176.6,0.0
serial,opt,clustered600,600,1,1,240,240,2830,7,0,0.15,26320.9,-1,4.002,-1,0,0,0,0,E5,clustered600,1,4.002,4.002,4.002,0.0,26320.9,0.0
serial,opt,clustered600,600,1,1,240,240,2803,8,0,0.15,24934.8,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,24934.8,0.0
serial,opt,clustered600,600,1,1,240,240,2782,9,0,0.15,27079.3,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,27079.3,0.0
serial,opt,clustered600,600,1,1,240,240,2801,10,0,0.15,34701.7,-1,4.002,-1,0,0,0,0,E5,clustered600,1,4.002,4.002,4.002,0.0,34701.7,0.0
serial,opt,clustered600,600,1,1,240,240,2724,11,0,0.15,29586.7,-1,4.001,-1,0,0,0,0,E5,clustered600,1,4.001,4.001,4.001,0.0,29586.7,0.0
serial,opt,clustered600,600,1,1,240,240,2691,12,0,0.15,28390.6,-1,4,-1,0,0,0,0,E5,clustered600,1,4.0,4.0,4.0,0.0,28390.6,0.0
