mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
serial,opt,ch150,150,1,1,240,240,1538,2,1,0.15,6633,1.60846,4,-1,0,0,0,0,E6,ch150,1,4.0,4.0,4.0,0.0,6633.0,0.0
serial,opt,ch150,150,1,1,240,240,1511,3,1,0.15,6528,0,4.002,-1,0,0,0,0,E6,ch150,1,4.002,4.002,4.002,0.0,6528.0,0.0
serial,opt,ch150,150,1,1,240,240,1496,4,1,0.15,6555,0.413603,4,-1,0,0,0,0,E6,ch150,1,4.0,4.0,4.0,0.0,6555.0,0.0
serial,opt,ch150,150,1,1,240,240,1526,5,1,0.15,6567,0.597426,4.002,-1,0,0,0,0,E6,ch150,1,4.002,4.002,4.002,0.0,6567.0,0.0
serial,opt,ch150,150,1,1,240,240,1532,6,1,0.15,6549,0.321691,4.002,-1,0,0,0,0,E6,ch150,1,4.002,4.002,4.002,0.0,6549.0,0.0
serial,opt,ch150,150,1,1,240,240,1504,7,1,0.15,6533,0.0765931,4.001,-1,0,0,0,0,E6,ch150,1,4.001,4.001,4.001,0.0,6533.0,0.0
serial,opt,ch150,150,1,1,240,240,1531,8,1,0.15,6584,0.857843,4.002,-1,0,0,0,0,E6,ch150,1,4.002,4.002,4.002,0.0,6584.0,0.0
serial,opt,ch150,150,1,1,240,240,1512,9,1,0.15,6560,0.490196,4.001,-1,0,0,0,0,E6,ch150,1,4.001,4.001,4.001,0.0,6560.0,0.0
serial,opt,ch150,150,1,1,240,240,1532,10,1,0.15,6588,0.919118,4,-1,0,0,0,0,E6,ch150,1,4.0,4.0,4.0,0.0,6588.0,0.0
serial,opt,ch150,150,1,1,240,240,1534,11,1,0.15,6553,0.382966,4.001,-1,0,0,0,0,E6,ch150,1,4.001,4.001,4.001,0.0,6553.0,0.0
serial,opt,ch150,150,1,1,240,240,1518,12,1,0.15,6533,0.0765931,4,-1,0,0,0,0,E6,ch150,1,4.0,4.0,4.0,0.0,6533.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3930,1,1,0.15,6571,0.658701,4.004,-1,3144,3135,3144,0,E6,ch150,1,4.004,4.004,4.004,0.0,6571.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3170,2,1,0.15,6571,0.658701,4.009,-1,2536,2530,2536,0,E6,ch150,1,4.009,4.009,4.009,0.0,6571.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3110,3,1,0.15,6598,1.0723,4.006,-1,2488,2482,2488,0,E6,ch150,1,4.006,4.006,4.006,0.0,6598.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3140,4,1,0.15,6556,0.428922,4,-1,2512,2506,2512,0,E6,ch150,1,4.0,4.0,4.0,0.0,6556.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3200,5,1,0.15,6556,0.428922,4.01,-1,2560,2554,2560,0,E6,ch150,1,4.01,4.01,4.01,0.0,6556.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3160,6,1,0.15,6569,0.628064,4.006,-1,2528,2522,2528,0,E6,ch150,1,4.006,4.006,4.006,0.0,6569.0,0.0
